SOURCE	TARGET	COUNT	BASE
עגבניה	עגבנייה	31	0
בעגבניה	בעגבנייה	7	31
ועגבניה	ועגבנייה	1	31
שעגבניה	שעגבנייה	1	31
עוביה	עובייה	3	0
ועוביה	ועובייה	1	3
כעוביה	כעובייה	2	3
עויין	עוין	53	0
העויין	העוין	2	53
ועויין	ועוין	8	53
כעויין	כעוין	2	53
שעויין	שעוין	4	53
והעויין	והעוין	1	53
עויינות	עוינות	2	0
העויינות	העוינות	1	2
עויינת	עוינת	5	0
ועויינת	ועוינת	2	5
עזבון	עיזבון	4	0
בעזבון	בעיזבון	2	4
העזבון	העיזבון	13	4
מעזבון	מעיזבון	1	4
מהעזבון	מהעיזבון	1	4
בעזבונם	בעיזבונם	2	0
לעזבונם	לעיזבונם	1	0
עיזבונות	עזבונות	21	0
בעיזבונות	בעזבונות	2	21
העיזבונות	העזבונות	34	21
ועיזבונות	ועזבונות	4	21
לעיזבונות	לעזבונות	1	21
מעיזבונות	מעזבונות	3	21
ובעיזבונות	ובעזבונות	3	21
מהעיזבונות	מהעזבונות	1	21
עינים	עיניים	59	0
בעינים	בעיניים	11	59
העינים	העיניים	7	59
ועינים	ועיניים	4	59
לעינים	לעיניים	4	59
מעינים	מעיניים	10	59
שעינים	שעיניים	3	59
שבעינים	שבעיניים	1	59
עיסם	עיסאם	1	0
בעיסם	בעיסאם	1	1
עיסקה	עסקה	30	0
שעיסקה	שעסקה	2	30
עיסקית	עסקית	2	0
העיסקית	העסקית	1	2
עיסקת	עסקת	3	0
עיריה	עירייה	14	0
העיריה	העירייה	7	14
מעיריה	מעירייה	1	14
שעיריה	שעירייה	2	14
ובעיריה	ובעירייה	1	14
בעירנות	בערנות	2	0
העירנות	הערנות	3	0
עירני	ערני	29	0
העירני	הערני	2	29
ועירני	וערני	3	29
והעירני	והערני	1	29
עירניות	ערניות	5	0
בעירניות	בערניות	1	5
עירניים	ערניים	12	0
העירניים	הערניים	1	12
ועירניים	וערניים	1	12
עירנית	ערנית	6	0
והעירנית	והערנית	1	6
עליים	עיליים	56	0
עמרי	עומרי	966	0
בעמרי	בעומרי	6	966
ועמרי	ועומרי	73	966
כעמרי	כעומרי	5	966
לעמרי	לעומרי	42	966
מעמרי	מעומרי	8	966
שעמרי	שעומרי	23	966
וכעמרי	וכעומרי	1	966
ולעמרי	ולעומרי	2	966
כשעמרי	כשעומרי	2	966
עניה	ענייה	181	0
בעניה	בענייה	1	181
העניה	הענייה	2	181
ועניה	וענייה	14	181
כעניה	כענייה	5	181
לעניה	לענייה	10	181
מעניה	מענייה	14	181
שעניה	שענייה	8	181
ולעניה	ולענייה	1	181
כשעניה	כשענייה	1	181
מהעניה	מהענייה	1	181
עניני	ענייני	74	0
בעניני	בענייני	7	74
העניני	הענייני	1	74
ועניני	וענייני	14	74
כעניני	כענייני	1	74
לעניני	לענייני	5	74
שעניני	שענייני	2	74
עניפה	ענפה	33	0
העניפה	הענפה	15	33
ועניפה	וענפה	3	33
לעניפה	לענפה	1	33
עצמינו	עצמנו	1	0
בעצמינו	בעצמנו	3	1
לעצמינו	לעצמנו	2	1
עצמתה	עוצמתה	6	0
עצמתו	עוצמתו	22	0
עצמתיות	עוצמתיות	4	0
עצמתיים	עוצמתיים	3	0
עצמתית	עוצמתית	8	0
ערבובייה	ערבוביה	57	0
בערבובייה	בערבוביה	54	57
הערבובייה	הערבוביה	13	57
לערבובייה	לערבוביה	1	57
ערבון	עירבון	30	0
בערבון	בעירבון	24	30
הערבון	העירבון	10	30
וערבון	ועירבון	3	30
כערבון	כעירבון	2	30
מערבון	מעירבון	14	30
ובערבון	ובעירבון	1	30
ערפי	עורפי	19	0
בערפי	בעורפי	2	19
וערפי	ועורפי	12	19
שערפי	שעורפי	2	19
ערפיים	עורפיים	1	0
בערפיים	בעורפיים	1	1
כערפיים	כעורפיים	2	1
וערפית	ועורפית	1	0
עשוייה	עשויה	14	0
ועשוייה	ועשויה	1	14
עשוים	עשויים	49	0
העשוים	העשויים	1	49
ועשוים	ועשויים	2	49
מעשוים	מעשויים	1	49
שעשוים	שעשויים	10	49
עשיה	עשייה	4	0
עתון	עיתון	42	0
בעתון	בעיתון	2	42
העתון	העיתון	13	42
ועתון	ועיתון	5	42
כעתון	כעיתון	1	42
לעתון	לעיתון	9	42
מעתון	מעיתון	1	42
שעתון	שעיתון	1	42
והעתון	והעיתון	1	42
ולעתון	ולעיתון	1	42
שבעתון	שבעיתון	1	42
שהעתון	שהעיתון	1	42
עתונאי	עיתונאי	7	0
בעתונאי	בעיתונאי	1	7
העתונאי	העיתונאי	2	7
ועתונאי	ועיתונאי	1	7
כעתונאי	כעיתונאי	1	7
עתונאים	עיתונאים	5	0
העתונאים	העיתונאים	1	5
עתונאית	עיתונאית	1	0
העתונאית	העיתונאית	2	1
עתים	עיתים	301	0
פיאה	פאה	1	0
בפיאה	בפאה	1	1
הפיאה	הפאה	1	1
ופיאה	ופאה	1	1
פיאות	פאות	1	0
בפיאות	בפאות	1	1
הפיאות	הפאות	3	1
ופיאות	ופאות	2	1
מפיאות	מפאות	1	1
פידיון	פדיון	44	0
בפידיון	בפדיון	10	44
הפידיון	הפדיון	5	44
ופידיון	ופדיון	2	44
לפידיון	לפדיון	4	44
מפידיון	מפדיון	1	44
שפידיון	שפדיון	4	44
פיסקה	פסקה	40	0
בפיסקה	בפסקה	1	40
הפיסקה	הפסקה	4	40
ופיסקה	ופסקה	1	40
לפיסקה	לפסקה	3	40
שפיסקה	שפסקה	1	40
פיקאסו	פיקסו	130	0
בפיקאסו	בפיקסו	1	130
ופיקאסו	ופיקסו	4	130
לפיקאסו	לפיקסו	6	130
מפיקאסו	מפיקסו	5	130
שפיקאסו	שפיקסו	8	130
פיקארד	פיקרד	9	0
שפיקארד	שפיקרד	2	9
פיריון	פריון	27	0
בפיריון	בפריון	2	27
הפיריון	הפריון	28	27
לפיריון	לפריון	3	27
והפיריון	והפריון	1	27
שהפיריון	שהפריון	2	27
פירצת	פרצת	1	0
פיתרון	פתרון	41	0
בפיתרון	בפתרון	6	41
הפיתרון	הפתרון	7	41
לפיתרון	לפתרון	4	41
מהפיתרון	מהפתרון	4	41
פיתרונות	פתרונות	3	0
פנחס	פינחס	2550	0
בפנחס	בפינחס	109	2550
ופנחס	ופינחס	247	2550
כפנחס	כפינחס	71	2550
לפנחס	לפינחס	113	2550
מפנחס	מפינחס	26	2550
שפנחס	שפינחס	112	2550
ובפנחס	ובפינחס	4	2550
ולפנחס	ולפינחס	2	2550
שבפנחס	שבפינחס	7	2550
כשפנחס	כשפינחס	5	2550
פנימיה	פנימייה	3	0
בפנימיה	בפנימייה	5	3
לפנימיה	לפנימייה	5	3
ובפנימיה	ובפנימייה	1	3
פעליים	פועליים	1	0
פעלית	פועלית	9	0
ופרבריה	ופרווריה	4	0
ובפרבריה	ובפרווריה	1	0
פרידות	פרדות	113	0
בפרידות	בפרדות	6	113
הפרידות	הפרדות	28	113
ופרידות	ופרדות	11	113
לפרידות	לפרדות	2	113
מפרידות	מפרדות	56	113
שפרידות	שפרדות	1	113
ובפרידות	ובפרדות	2	113
ומפרידות	ומפרדות	3	113
שהפרידות	שהפרדות	2	113
כשהפרידות	כשהפרדות	1	113
פרידתם	פרדתם	4	0
ופרידתם	ופרדתם	1	4
ובפרידתם	ובפרדתם	1	4
לפרידתנו	לפרדתנו	2	0
ובפרידתנו	ובפרדתנו	1	0
פרעון	פירעון	198	0
בפרעון	בפירעון	17	198
ופרעון	ופירעון	10	198
כפרעון	כפירעון	2	198
לפרעון	לפירעון	30	198
מפרעון	מפירעון	7	198
שפרעון	שפירעון	13	198
ובפרעון	ובפירעון	5	198
ולפרעון	ולפירעון	2	198
כשפרעון	כשפירעון	2	198
צביה	צבייה	44	0
וצביה	וצבייה	6	44
כצביה	כצבייה	1	44
לצביה	לצבייה	1	44
מצביה	מצבייה	1	44
ומצביה	ומצבייה	1	44
צדך	צידך	122	0
בצדך	בצידך	123	122
וצדך	וצידך	2	122
לצדך	לצידך	87	122
מצדך	מצידך	112	122
שצדך	שצידך	1	122
ובצדך	ובצידך	3	122
ולצדך	ולצידך	2	122
ומצדך	ומצידך	5	122
צדכם	צידכם	3	0
בצדכם	בצידכם	22	3
לצדכם	לצידכם	36	3
מצדכם	מצידכם	46	3
שצדכם	שצידכם	1	3
ולצדכם	ולצידכם	1	3
ומצדכם	ומצידכם	1	3
צדכן	צידכן	2	0
לצדכן	לצידכן	2	2
מצדכן	מצידכן	1	2
צדם	צידם	30	0
בצדם	בצידם	38	30
וצדם	וצידם	1	30
לצדם	לצידם	146	30
מצדם	מצידם	130	30
ובצדם	ובצידם	4	30
ולצדם	ולצידם	21	30
ומצדם	ומצידם	4	30
שבצדם	שבצידם	3	30
צדן	צידן	7	0
בצדן	בצידן	10	7
לצדן	לצידן	29	7
מצדן	מצידן	13	7
ובצדן	ובצידן	2	7
ולצדן	ולצידן	2	7
שבצדן	שבצידן	5	7
צהר	צוהר	375	0
בצהר	בצוהר	21	375
הצהר	הצוהר	57	375
וצהר	וצוהר	5	375
לצהר	לצוהר	6	375
מצהר	מצוהר	50	375
שצהר	שצוהר	11	375
והצהר	והצוהר	6	375
ומצהר	ומצוהר	3	375
שבצהר	שבצוהר	3	375
שהצהר	שהצוהר	1	375
מהצהר	מהצוהר	6	375
צהרי	צוהרי	19	0
בצהרי	בצוהרי	69	19
וצהרי	וצוהרי	2	19
כצהרי	כצוהרי	2	19
לצהרי	לצוהרי	3	19
מצהרי	מצוהרי	4	19
ובצהרי	ובצוהרי	2	19
שבצהרי	שבצוהרי	3	19
צהריים	צוהריים	2833	0
בצהריים	בצוהריים	1961	2833
הצהריים	הצוהריים	2532	2833
וצהריים	וצוהריים	87	2833
כצהריים	כצוהריים	19	2833
לצהריים	לצוהריים	58	2833
מצהריים	מצוהריים	6	2833
שצהריים	שצוהריים	2	2833
ובצהריים	ובצוהריים	48	2833
והצהריים	והצוהריים	8	2833
ולצהריים	ולצוהריים	1	2833
ומצהריים	ומצוהריים	6	2833
שבצהריים	שבצוהריים	7	2833
שהצהריים	שהצוהריים	2	2833
מהצהריים	מהצוהריים	27	2833
צואר	צוואר	6	0
הצואר	הצוואר	1	6
לצואר	לצוואר	2	6
מצואר	מצוואר	5	6
שבצואר	שבצוואר	1	6
ציוה	ציווה	3	0
ציפיה	ציפייה	1	0
והציפיה	והציפייה	1	1
צפוים	צפויים	2	0
צפור	ציפור	56	0
צפורה	ציפורה	25	0
הצפורה	הציפורה	2	25
לצפורה	לציפורה	1	25
שצפורה	שציפורה	2	25
ומצפורה	ומציפורה	1	25
צרופי	צירופי	3	0
וצרופי	וצירופי	1	3
צרכי	צורכי	163	0
צרכיהם	צורכיהם	27	0
בצרכיהם	בצורכיהם	2	27
וצרכיהם	וצורכיהם	4	27
לצרכיהם	לצורכיהם	19	27
ובצרכיהם	ובצורכיהם	1	27
ולצרכיהם	ולצורכיהם	2	27
צרפה	צירפה	51	0
וצרפה	וצירפה	9	51
שצרפה	שצירפה	14	51
צרפתיה	צרפתייה	1	0
הצרפתיה	הצרפתייה	1	1
קָרב	קרב	41	0
קדירה	קדרה	17	0
בקדירה	בקדרה	25	17
הקדירה	הקדרה	11	17
וקדירה	וקדרה	1	17
לקדירה	לקדרה	6	17
מקדירה	מקדרה	2	17
קדירות	קדרות	3	0
קדירת	קדרת	8	0
וקדירת	וקדרת	1	8
לקדירת	לקדרת	2	8
קדקוד	קודקוד	3	0
בקדקוד	בקודקוד	1	3
וקדקוד	וקודקוד	2	3
מהקדקוד	מהקודקוד	1	3
מהקדקודים	מהקודקודים	1	0
קהלת	קוהלת	3074	0
בקהלת	בקוהלת	331	3074
וקהלת	וקוהלת	127	3074
כקהלת	כקוהלת	2	3074
לקהלת	לקוהלת	100	3074
מקהלת	מקוהלת	129	3074
שקהלת	שקוהלת	178	3074
ובקהלת	ובקוהלת	3	3074
ולקהלת	ולקוהלת	3	3074
ומקהלת	ומקוהלת	6	3074
ושקהלת	ושקוהלת	1	3074
שבקהלת	שבקוהלת	5	3074
כשקהלת	כשקוהלת	9	3074
וכשקהלת	וכשקוהלת	1	3074
שכשקהלת	שכשקוהלת	3	3074
קוּל	קול	1	0
קוּלית	קולית	33	0
קופסא	קופסה	105	0
בקופסא	בקופסה	63	105
הקופסא	הקופסה	78	105
כקופסא	כקופסה	1	105
לקופסא	לקופסה	107	105
מקופסא	מקופסה	3	105
שקופסא	שקופסה	1	105
והקופסא	והקופסה	2	105
ולקופסא	ולקופסה	1	105
שבקופסא	שבקופסה	1	105
שהקופסא	שהקופסה	1	105
מהקופסא	מהקופסה	67	105
קוקיה	קוקייה	4	0
קושייה	קושיה	2475	0
בקושייה	בקושיה	225	2475
הקושייה	הקושיה	2105	2475
וקושייה	וקושיה	28	2475
כקושייה	כקושיה	42	2475
לקושייה	לקושיה	161	2475
מקושייה	מקושיה	21	2475
שקושייה	שקושיה	14	2475
ובקושייה	ובקושיה	2	2475
והקושייה	והקושיה	60	2475
ולקושייה	ולקושיה	4	2475
שבקושייה	שבקושיה	4	2475
שהקושייה	שהקושיה	93	2475
מהקושייה	מהקושיה	40	2475
קטבי	קוטבי	8	0
וקטבית	וקוטבית	1	0
קידרון	קדרון	2	0
קיויתי	קיוויתי	4	0
קיטנה	קייטנה	22	0
בקיטנה	בקייטנה	2	22
הקיטנה	הקייטנה	2	22
לקיטנה	לקייטנה	1	22
מהקיטנה	מהקייטנה	1	22
הקיטנות	הקייטנות	1	0
וקיטנות	וקייטנות	1	0
לקיטנות	לקייטנות	1	0
קייצי	קיצי	7	0
הקייצי	הקיצי	2	7
וקייצי	וקיצי	3	7
קימת	קיימת	14	0
וקימת	וקיימת	1	14
שקימת	שקיימת	2	14
לקיצבה	לקצבה	1	0
לקיצבת	לקצבת	1	0
קירבה	קרבה	25	0
בקירבה	בקרבה	1	25
הקירבה	הקרבה	6	25
וקירבה	וקרבה	4	25
לקירבה	לקרבה	1	25
שקירבה	שקרבה	3	25
והקירבה	והקרבה	4	25
קלאוזוויץ	קלאוזביץ'	12	0
לקלאוזוויץ	לקלאוזביץ'	1	12
שקלאוזוויץ	שקלאוזביץ'	1	12
וקנמון	וקינמון	2	0
קצם	קיצם	17	0
בקצם	בקיצם	7	17
וקצם	וקיצם	1	17
לקצם	לקיצם	3	17
מקצם	מקיצם	1	17
קצן	קיצן	69	0
בקצן	בקיצן	1	69
וקצן	וקיצן	1	69
לקצן	לקיצן	6	69
מקצן	מקיצן	1	69
שקצן	שקיצן	3	69
קרבן	קורבן	353	0
בקרבן	בקורבן	78	353
הקרבן	הקורבן	93	353
וקרבן	וקורבן	8	353
כקרבן	כקורבן	3	353
לקרבן	לקורבן	33	353
מקרבן	מקורבן	19	353
שקרבן	שקורבן	6	353
ובקרבן	ובקורבן	2	353
והקרבן	והקורבן	2	353
ולקרבן	ולקורבן	1	353
ומקרבן	ומקורבן	28	353
שבקרבן	שבקורבן	11	353
שהקרבן	שהקורבן	2	353
מהקרבן	מהקורבן	2	353
קרבנות	קורבנות	101	0
בקרבנות	בקורבנות	9	101
הקרבנות	הקורבנות	61	101
וקרבנות	וקורבנות	1	101
כקרבנות	כקורבנות	1	101
לקרבנות	לקורבנות	6	101
והקרבנות	והקורבנות	1	101
וכקרבנות	וכקורבנות	1	101
שהקרבנות	שהקורבנות	1	101
קרבנותיו	קורבנותיו	5	0
בקרבנותיו	בקורבנותיו	3	5
קרבני	קורבני	6	0
בקרבני	בקורבני	4	6
הקרבני	הקורבני	5	6
לקרבני	לקורבני	1	6
שבקרבני	שבקורבני	1	6
מהקרבני	מהקורבני	1	6
קרבנית	קורבנית	1	0
הקרבנית	הקורבנית	1	1
קרור	קירור	36	0
בקרור	בקירור	5	36
הקרור	הקירור	2	36
וקרור	וקירור	2	36
לקרור	לקירור	9	36
שקרור	שקירור	5	36
קרציה	קרצייה	9	0
בקרציה	בקרצייה	1	9
הקרציה	הקרצייה	4	9
שקרציה	שקרצייה	1	9
הקשחה	הקושחה	9	0
ראיון	ריאיון	741	0
בראיון	בריאיון	163	741
הראיון	הריאיון	392	741
וראיון	וריאיון	3	741
כראיון	כריאיון	3	741
לראיון	לריאיון	177	741
מראיון	מריאיון	34	741
שראיון	שריאיון	3	741
ובראיון	ובריאיון	2	741
והראיון	והריאיון	8	741
שבראיון	שבריאיון	1	741
שהראיון	שהריאיון	6	741
כשראיון	כשריאיון	1	741
מהראיון	מהריאיון	11	741
ראיונות	ריאיונות	743	0
בראיונות	בריאיונות	255	743
הראיונות	הריאיונות	387	743
וראיונות	וריאיונות	33	743
לראיונות	לריאיונות	95	743
מראיונות	מריאיונות	17	743
שראיונות	שריאיונות	2	743
ובראיונות	ובריאיונות	15	743
והראיונות	והריאיונות	8	743
ולראיונות	ולריאיונות	4	743
שבראיונות	שבריאיונות	1	743
שהראיונות	שהריאיונות	3	743
כשראיונות	כשריאיונות	1	743
מהראיונות	מהריאיונות	25	743
ראתי	ריאתי	84	0
רבאק	ראבק	219	0
ברבאק	בראבק	32	219
הרבאק	הראבק	6	219
ורבאק	וראבק	2	219
לרבאק	לראבק	2	219
שרבאק	שראבק	4	219
והרבאק	והראבק	1	219
רבותי	רבותיי	22116	0
ברבותי	ברבותיי	3	22116
ורבותי	ורבותיי	529	22116
לרבותי	לרבותיי	6	22116
מרבותי	מרבותיי	6	22116
שרבותי	שרבותיי	2	22116
כשרבותי	כשרבותיי	1	22116
רוה	רווה	7	0
רויטל	רוויטל	2561	0
ברויטל	ברוויטל	4	2561
ורויטל	ורוויטל	65	2561
לרויטל	לרוויטל	28	2561
מרויטל	מרוויטל	5	2561
שרויטל	שרוויטל	24	2561
ולרויטל	ולרוויטל	1	2561
כשרויטל	כשרוויטל	2	2561
שכשרויטל	שכשרוויטל	1	2561
רחביות	רוחביות	5	0
רחביים	רוחביים	3	0
רחבית	רוחבית	30	0
רישא	רישה	63	0
ברישא	ברישה	38	63
הרישא	הרישה	22	63
ורישא	ורישה	13	63
כרישא	כרישה	1	63
לרישא	לרישה	26	63
מרישא	מרישה	21	63
שרישא	שרישה	4	63
וברישא	וברישה	1	63
והרישא	והרישה	1	63
שברישא	שברישה	4	63
שהרישא	שהרישה	4	63
מהרישא	מהרישה	6	63
רישמית	רשמית	1	0
רעיתו	רעייתו	1	0
שאלותי	שאלותיי	64	0
בשאלותי	בשאלותיי	1	64
ושאלותי	ושאלותיי	1	64
לשאלותי	לשאלותיי	3	64
שאמנים	שאומנים	17	0
שגעון	שיגעון	13	0
בשגעון	בשיגעון	1	13
השגעון	השיגעון	1	13
ושגעון	ושיגעון	1	13
שדב	שדוב	97	0
שהיעדר	שהעדר	55	0
שוּנה	שונה	4	0
שוא	שווא	92	0
שולייה	שוליה	25	0
בשולייה	בשוליה	2	25
השולייה	השוליה	20	25
ושולייה	ושוליה	2	25
כשולייה	כשוליה	2	25
לשולייה	לשוליה	5	25
משולייה	משוליה	2	25
והשולייה	והשוליה	2	25
שהשולייה	שהשוליה	1	25
שטאסי	שטאזי	1	0
שיגרתיים	שגרתיים	1	0
השיגרתיים	השגרתיים	1	1
שיוויון	שוויון	38	0
השיוויון	השוויון	7	38
ושיוויון	ושוויון	1	38
לשיוויון	לשוויון	1	38
שיוויוני	שוויוני	2	0
שיוויונית	שוויונית	2	0
שיויון	שוויון	1	0
שינוים	שינויים	2	0
לשינוים	לשינויים	2	2
משינוים	משינויים	1	2
שיפודיה	שיפודייה	1	0
בשיפודיה	בשיפודייה	1	1
שירתתי	שירתי	164	0
ושירתתי	ושירתי	14	164
ששירתתי	ששירתי	13	164
כששירתתי	כששירתי	4	164
שכהנים	שכוהנים	191	0
שלגיה	שלגייה	2	0
ובשלגיה	ובשלגייה	1	2
שלוה	שלווה	46	0
בשלוה	בשלווה	6	46
השלוה	השלווה	1	46
ושלוה	ושלווה	3	46
לשלוה	לשלווה	2	46
שלישיה	שלישייה	12	0
השלישיה	השלישייה	3	12
ושלישיה	ושלישייה	1	12
לשלישיה	לשלישייה	1	12
שניה	שנייה	508	0
שערוריה	שערורייה	11	0
השערוריה	השערורייה	2	11
כשהשערוריה	כשהשערורייה	1	11
שפורפרת	שפופרת	7	0
בשפורפרת	בשפופרת	3	7
השפורפרת	השפופרת	13	7
ושפורפרת	ושפופרת	1	7
לשפורפרת	לשפופרת	2	7
שרותים	שירותים	24	0
בשרותים	בשירותים	2	24
השרותים	השירותים	5	24
ושרותים	ושירותים	1	24
כשרותים	כשירותים	2	24
לשרותים	לשירותים	2	24
משרותים	משירותים	3	24
ששרותים	ששירותים	1	24
ומשרותים	ומשירותים	1	24
שהשרותים	שהשירותים	1	24
מהשרותים	מהשירותים	1	24
שריפה	שרפה	1173	0
בשריפה	בשרפה	349	1173
השריפה	השרפה	460	1173
ושריפה	ושרפה	27	1173
כשריפה	כשרפה	3	1173
לשריפה	לשרפה	130	1173
משריפה	משרפה	31	1173
ששריפה	ששרפה	32	1173
ובשריפה	ובשרפה	2	1173
והשריפה	והשרפה	14	1173
וכשריפה	וכשרפה	1	1173
ולשריפה	ולשרפה	6	1173
שבשריפה	שבשרפה	7	1173
שהשריפה	שהשרפה	27	1173
כששריפה	כששרפה	1	1173
מהשריפה	מהשרפה	20	1173
שריפות	שרפות	255	0
בשריפות	בשרפות	10	255
השריפות	השרפות	99	255
ושריפות	ושרפות	11	255
לשריפות	לשרפות	8	255
משריפות	משרפות	17	255
ששריפות	ששרפות	1	255
ובשריפות	ובשרפות	3	255
והשריפות	והשרפות	4	255
ולשריפות	ולשרפות	3	255
ומשריפות	ומשרפות	1	255
שבשריפות	שבשרפות	1	255
שהשריפות	שהשרפות	3	255
מהשריפות	מהשרפות	7	255
שריפת	שרפת	413	0
בשריפת	בשרפת	38	413
ושריפת	ושרפת	30	413
כשריפת	כשרפת	10	413
לשריפת	לשרפת	44	413
משריפת	משרפת	12	413
ששריפת	ששרפת	23	413
ובשריפת	ובשרפת	1	413
ולשריפת	ולשרפת	2	413
וכששריפת	וכששרפת	1	413
שריפתו	שרפתו	8	0
בשריפתו	בשרפתו	1	8
ושריפתו	ושרפתו	2	8
לשריפתו	לשרפתו	4	8
משריפתו	משרפתו	10	8
שרשי	שורש	278	0
בשרשי	בשורש	2	278
השרשי	השורש	4	278
ושרשי	ושורש	1	278
כשרשי	כשורש	8	278
לשרשי	לשורש	3	278
משרשי	משורש	39	278
שבשרשי	שבשורש	1	278
שרשיות	שורשיות	3	0
השרשיות	השורשיות	1	3
לשרשיות	לשורשיות	1	3
שרשיים	שורשיים	3	0
שרשים	שורשים	19	0
שרשית	שורשית	7	0
השרשית	השורשית	1	7
שרתו	שירתו	90	0
ושרתו	ושירתו	7	90
ששרתו	ששירתו	19	90
שרתנו	שירתנו	11	0
ששרתנו	ששירתנו	1	11
וששרתנו	וששירתנו	1	11
כששרתנו	כששירתנו	1	11
ששית	שישית	16	0
הששית	השישית	27	16
וששית	ושישית	1	16
מששית	משישית	1	16
והששית	והשישית	1	16
מהששית	מהשישית	1	16
שתיה	שתייה	53	0
בשתיה	בשתייה	4	53
השתיה	השתייה	2	53
ושתיה	ושתייה	23	53
לשתיה	לשתייה	3	53
משתיה	משתייה	4	53
ששתיה	ששתייה	2	53
תאבון	תיאבון	38	0
בתאבון	בתיאבון	17	38
התאבון	התיאבון	83	38
ותאבון	ותיאבון	3	38
לתאבון	לתיאבון	15	38
ובתאבון	ובתיאבון	6	38
שהתאבון	שהתיאבון	4	38
מהתאבון	מהתיאבון	1	38
בתאבונה	בתיאבונה	1	0
תאבונו	תיאבונו	1	0
תאבוני	תיאבוני	2	0
תאבונם	תיאבונם	1	0
תאור	תיאור	124	0
בתאור	בתיאור	10	124
התאור	התיאור	3	124
ותאור	ותיאור	7	124
לתאור	לתיאור	2	124
מתאור	מתיאור	3	124
שתאור	שתיאור	1	124
והתאור	והתיאור	1	124
תאורים	תיאורים	23	0
התאורים	התיאורים	1	23
ותאורים	ותיאורים	1	23
מתאורים	מתיאורים	3	23
תאלץ	תיאלץ	35	0
ותאלץ	ותיאלץ	3	35
שתאלץ	שתיאלץ	5	35
תבה	תיבה	13	0
תבות	תיבות	33	0
תגשו	תיגשו	23	0
ותגשו	ותיגשו	1	23
שתגשו	שתיגשו	2	23
תדחוף	תדחף	77	0
ותדחוף	ותדחף	9	77
שתדחוף	שתדחף	15	77
תהלה	תהילה	195	0
בתהלה	בתהילה	8	195
התהלה	התהילה	3	195
ותהלה	ותהילה	13	195
מתהלה	מתהילה	1	195
והתהלה	והתהילה	2	195
תהלים	תהילים	45	0
בתהלים	בתהילים	10	45
התהלים	התהילים	4	45
לתהלים	לתהילים	2	45
מתהלים	מתהילים	2	45
שבתהלים	שבתהילים	1	45
תהנו	תיהנו	476	0
ותהנו	ותיהנו	37	476
שתהנו	שתיהנו	161	476
ושתהנו	ושתיהנו	3	476
תהני	תיהני	39	0
ותהני	ותיהני	12	39
שתהני	שתיהני	1	39
תושיה	תושייה	5	0
בתושיה	בתושייה	1	5
ותושיה	ותושייה	1	5
לתושיה	לתושייה	2	5
תזהרי	תיזהרי	2	0
תזרק	תיזרק	25	0
תזרקי	תיזרקי	38	0
ותזרקי	ותיזרקי	3	38
שתזרקי	שתיזרקי	3	38
תייל	תיל	14	0
בתייל	בתיל	11	14
התייל	התיל	19	14
לתייל	לתיל	67	14
מתייל	מתיל	57	14
שתייל	שתיל	2	14
ולתייל	ולתיל	1	14
ומתייל	ומתיל	1	14
שהתייל	שהתיל	2	14
תייש	תיש	1	0
בתייש	בתיש	1	1
התייש	התיש	13	1
ותייש	ותיש	3	1
מתייש	מתיש	8	1
שתייש	שתיש	8	1
ובתייש	ובתיש	1	1
ושתייש	ושתיש	3	1
תיכף	תכף	1143	0
בתיכף	בתכף	5	1143
ותיכף	ותכף	218	1143
שתיכף	שתכף	121	1143
כשתיכף	כשתכף	1	1143
תימרות	תמרות	4	0
ותימרות	ותמרות	22	4
כתימרות	כתמרות	7	4
תכניות	תוכניות	29	0
בתכניות	בתוכניות	5	29
התכניות	התוכניות	17	29
ותכניות	ותוכניות	3	29
לתכניות	לתוכניות	3	29
מתכניות	מתוכניות	4	29
ולתכניות	ולתוכניות	1	29
שהתכניות	שהתוכניות	1	29
תכנייה	תוכנייה	4	0
התכנייה	התוכנייה	2	4
מהתכנייה	מהתוכנייה	1	4
מתכניים	מתוכניים	1	0
תכנית	תוכנית	161	0
בתכנית	בתוכנית	19	161
התכנית	התוכנית	65	161
ותכנית	ותוכנית	7	161
לתכנית	לתוכנית	17	161
מתכנית	מתוכנית	24	161
שתכנית	שתוכנית	14	161
והתכנית	והתוכנית	1	161
ולתכנית	ולתוכנית	2	161
ומתכנית	ומתוכנית	1	161
שבתכנית	שבתוכנית	1	161
שהתכנית	שהתוכנית	3	161
כשתכנית	כשתוכנית	1	161
מהתכנית	מהתוכנית	2	161
תכניתה	תוכניתה	1	0
תכניתו	תוכניתו	2	0
מתכניתו	מתוכניתו	1	2
תכניתי	תוכניתי	6	0
מתכניתי	מתוכניתי	2	6
שתכניתי	שתוכניתי	1	6
ומתכניתי	ומתוכניתי	2	6
תכניתם	תוכניתם	1	0
מתכניתם	מתוכניתם	1	1
שתכניתם	שתוכניתם	1	1
תכניתנים	תוכניתנים	1	0
תלוייה	תלויה	6	0
התלוייה	התלויה	1	6
תלוית	תלויית	112	0
ותלוית	ותלויית	2	112
שתלוית	שתלויית	2	112
תלים	תילים	29	0
התמהון	התימהון	1	0
ותמהון	ותימהון	1	0
לתמהון	לתימהון	1	0
ובתמהון	ובתימהון	2	0
תמהוני	תימהוני	13	0
התמהוני	התימהוני	4	13
כתמהוני	כתימהוני	1	13
ולתמהוני	ולתימהוני	4	13
תמהוניות	תימהוניות	1	0
